,Firm,Sender Email,Day,Date,Month,Year,Time_24hr_offset,Parts_of_the_day,noreply,Month_year
0,Medium Daily Digest ,noreply@medium.com,Mon,12,Jun,2023,02:10:00,Night,1,Jun 2023
1,Adobe Acrobat ,mail@mail.adobe.com,Sun,11,Jun,2023,00:20:39,Night,0,Jun 2023
2,Varsha from Prosple ,varsha@prosple.com,Sun,11,Jun,2023,04:23:34,Night,0,Jun 2023
3,Goibibo ,noreply@content.goibibo.com,Sun,11,Jun,2023,08:56:28,Morning,1,Jun 2023
4,LinkedIn,jobalerts-noreply@linkedin.com,Sun,11,Jun,2023,04:38:41,Night,1,Jun 2023
5,upGrad ,info@updates.upgrad.com,Sun,11,Jun,2023,03:35:22,Night,0,Jun 2023
6,Medium Daily Digest ,noreply@medium.com,Sun,11,Jun,2023,02:10:00,Night,1,Jun 2023
7,Gaucho - Buenos Aires ,hello@gauchobuenosaires.com,Sat,10,Jun,2023,06:04:13,Morning,0,Jun 2023
8,SBI,cbssbi.cas@alerts.sbi.co.in,Sat,10,Jun,2023,14:57:12,Afternoon,0,Jun 2023
9,EaseMyTrip ,info@easemytrip.com,Sat,10,Jun,2023,13:31:50,Afternoon,0,Jun 2023
10,Team Scaler ,hello@scaler.com,Sat,10,Jun,2023,01:34:02,Night,0,Jun 2023
11,Tripadvisor ,inspiration@mp1.tripadvisor.com,Sat,10,Jun,2023,08:06:38,Morning,0,Jun 2023
12,EaseMyTrip ,info@easemytrip.com,Sat,10,Jun,2023,08:20:31,Morning,0,Jun 2023
13,Goibibo ,noreply@content.goibibo.com,Sat,10,Jun,2023,07:13:06,Morning,1,Jun 2023
14,LinkedIn,jobalerts-noreply@linkedin.com,Sat,10,Jun,2023,04:48:01,Night,1,Jun 2023
15,Medium Daily Digest ,noreply@medium.com,Sat,10,Jun,2023,02:10:00,Night,1,Jun 2023
16,University of Michigan ,no-reply@m.mail.coursera.org,Fri,9,Jun,2023,02:34:22,Night,0,Jun 2023
